# KPS9566.TXT
0x854F	0xB2C4	# 닄
0x8550	0xB2C5	# 닅
0x8551	0xB2C6	# 닆
0x8552	0xB2C7	# 닇
0x8553	0xB2AE	# 늮
0x8554	0xB2C0	# 닀
0x8555	0xB195	# 놕
0x8556	0xB197	# 놗
0x8557	0xB199	# 놙
0x8558	0xB19A	# 놚
0x8559	0xB19B	# 놛
0x855A	0xB19D	# 놝
0x8561	0xB19E	# 놞
0x8562	0xB19F	# 놟
0x8563	0xB1A0	# 놠
0x8564	0xB1A1	# 놡
0x8565	0xB1A2	# 놢
0x8566	0xB1A3	# 놣
0x8567	0xB1A4	# 놤
0x8568	0xB1A5	# 놥
0x8569	0xB1A6	# 놦
0x856A	0xB1A9	# 놩
0x856B	0xB1AA	# 놪
0x856C	0xB1AB	# 놫
0x856D	0xB1AC	# 놬
0x856E	0xB1AD	# 놭
0x856F	0xB1AE	# 놮
0x8570	0xB1AF	# 놯
0x8571	0xB196	# 놖
0x8572	0xB221	# 눡
0x8573	0xB223	# 눣
0x8574	0xB224	# 눤
0x8575	0xB225	# 눥
0x8576	0xB226	# 눦
0x8577	0xB227	# 눧
0x8578	0xB229	# 눩
0x8579	0xB22A	# 눪
0x857A	0xB22B	# 눫
0x8581	0xB22C	# 눬
0x8582	0xB22D	# 눭
0x8583	0xB22E	# 눮
0x8584	0xB22F	# 눯
0x8585	0xB230	# 눰
0x8586	0xB231	# 눱
0x8587	0xB232	# 눲
0x8588	0xB235	# 눵
0x8589	0xB236	# 눶
0x858A	0xB237	# 눷
0x858B	0xB238	# 눸
0x858C	0xB239	# 눹
0x858D	0xB23A	# 눺
0x858E	0xB23B	# 눻
0x858F	0xB222	# 눢
0x8590	0xB1B1	# 놱
0x8591	0xB1B3	# 놳
0x8592	0xB1B4	# 놴
0x8593	0xB1B5	# 놵
0x8594	0xB1B6	# 놶
0x8595	0xB1B7	# 놷
0x8596	0xB1B8	# 놸
0x8597	0xB1B9	# 놹
0x8598	0xB1BA	# 놺
0x8599	0xB1BB	# 놻
0x859A	0xB1BC	# 놼
0x859B	0xB1BD	# 놽
0x859C	0xB1BE	# 놾
0x859D	0xB1BF	# 놿
0x859E	0xB1C0	# 뇀
0x859F	0xB1C1	# 뇁
0x85A0	0xB1C2	# 뇂
0x85A1	0xB1C3	# 뇃
0x85A2	0xB1C5	# 뇅
0x85A3	0xB1C6	# 뇆
0x85A4	0xB1C7	# 뇇
0x85A5	0xB1C8	# 뇈
0x85A6	0xB1C9	# 뇉
0x85A7	0xB1CA	# 뇊
0x85A8	0xB1CB	# 뇋
0x85A9	0xB1B2	# 놲
0x85AA	0xB1C4	# 뇄
0x85AB	0xB23D	# 눽
0x85AC	0xB23F	# 눿
0x85AD	0xB240	# 뉀
0x85AE	0xB241	# 뉁
0x85AF	0xB242	# 뉂
0x85B0	0xB243	# 뉃
0x85B1	0xB244	# 뉄
0x85B2	0xB245	# 뉅
0x85B3	0xB246	# 뉆
0x85B4	0xB247	# 뉇
0x85B5	0xB248	# 뉈
0x85B6	0xB249	# 뉉
0x85B7	0xB24A	# 뉊
0x85B8	0xB24B	# 뉋
0x85B9	0xB24C	# 뉌
0x85BA	0xB24D	# 뉍
0x85BB	0xB24E	# 뉎
0x85BC	0xB24F	# 뉏
0x85BD	0xB251	# 뉑
0x85BE	0xB252	# 뉒
0x85BF	0xB253	# 뉓
0x85C0	0xB254	# 뉔
